Address,Name,Point,Record,Time,Value
29,Pulse #1,0,,2019-07-19 21:56:59,
29,Pulse #1 Rate,1,,2019-07-19 21:56:59,
29,Pulse #1 Instantaneous,2,,2019-07-19 21:56:59,
29,Pulse #1 Min,3,,2019-07-19 21:56:59,
29,Pulse #1 Max,4,,2019-07-19 21:56:59,
29,Pulse #2,5,,2019-07-19 21:56:59,
29,Pulse #2 Rate,6,,2019-07-19 21:56:59,
29,Pulse #2 Instantaneous,7,,2019-07-19 21:56:59,
29,Pulse #2 Min,8,,2019-07-19 21:56:59,
29,Pulse #2 Max,9,,2019-07-19 21:56:59,
29,Pulse #1,0,,2019-07-19 22:03:13,0.0
29,Pulse #1 Rate,1,,2019-07-19 22:03:13,
29,Pulse #1 Instantaneous,2,,2019-07-19 22:03:13,
29,Pulse #1 Min,3,,2019-07-19 22:03:13,
29,Pulse #1 Max,4,,2019-07-19 22:03:13,
29,Pulse #2,5,,2019-07-19 22:03:13,0.0
29,Pulse #2 Rate,6,,2019-07-19 22:03:13,
29,Pulse #2 Instantaneous,7,,2019-07-19 22:03:13,
29,Pulse #2 Min,8,,2019-07-19 22:03:13,
29,Pulse #2 Max,9,,2019-07-19 22:03:13,
29,Pulse #1,0,,2019-07-19 22:06:38,
29,Pulse #1 Rate,1,,2019-07-19 22:06:38,
29,Pulse #1 Instantaneous,2,,2019-07-19 22:06:38,
29,Pulse #1 Min,3,,2019-07-19 22:06:38,
29,Pulse #1 Max,4,,2019-07-19 22:06:38,
29,Pulse #2,5,,2019-07-19 22:06:38,
29,Pulse #2 Rate,6,,2019-07-19 22:06:38,
29,Pulse #2 Instantaneous,7,,2019-07-19 22:06:38,
29,Pulse #2 Min,8,,2019-07-19 22:06:38,
29,Pulse #2 Max,9,,2019-07-19 22:06:38,
29,Pulse #1,0,,2019-07-19 22:09:31,0.0
29,Pulse #1 Rate,1,,2019-07-19 22:09:31,
29,Pulse #1 Instantaneous,2,,2019-07-19 22:09:31,
29,Pulse #1 Min,3,,2019-07-19 22:09:31,
29,Pulse #1 Max,4,,2019-07-19 22:09:31,
29,Pulse #2,5,,2019-07-19 22:09:31,0.0
29,Pulse #2 Rate,6,,2019-07-19 22:09:31,
29,Pulse #2 Instantaneous,7,,2019-07-19 22:09:31,
29,Pulse #2 Min,8,,2019-07-19 22:09:31,
29,Pulse #2 Max,9,,2019-07-19 22:09:31,
29,Pulse #1,0,,2019-07-19 22:15:59,0.0
29,Pulse #1 Rate,1,,2019-07-19 22:15:59,0.0
29,Pulse #1 Instantaneous,2,,2019-07-19 22:15:59,0.0
29,Pulse #1 Min,3,,2019-07-19 22:15:59,0.0
29,Pulse #1 Max,4,,2019-07-19 22:15:59,0.0
29,Pulse #2,5,,2019-07-19 22:15:59,0.0
29,Pulse #2 Rate,6,,2019-07-19 22:15:59,0.0
29,Pulse #2 Instantaneous,7,,2019-07-19 22:15:59,0.0
29,Pulse #2 Min,8,,2019-07-19 22:15:59,0.0
29,Pulse #2 Max,9,,2019-07-19 22:15:59,0.0
29,Pulse #1,0,,2019-07-19 22:21:57,0.0
29,Pulse #1 Rate,1,,2019-07-19 22:21:57,0.0
29,Pulse #1 Instantaneous,2,,2019-07-19 22:21:57,0.0
29,Pulse #1 Min,3,,2019-07-19 22:21:57,0.0
29,Pulse #1 Max,4,,2019-07-19 22:21:57,0.0
29,Pulse #2,5,,2019-07-19 22:21:57,0.0
29,Pulse #2 Rate,6,,2019-07-19 22:21:57,0.0
29,Pulse #2 Instantaneous,7,,2019-07-19 22:21:57,0.0
29,Pulse #2 Min,8,,2019-07-19 22:21:57,0.0
29,Pulse #2 Max,9,,2019-07-19 22:21:57,0.0
29,Pulse #1,0,,2019-07-19 22:25:02,0.0
29,Pulse #1 Rate,1,,2019-07-19 22:25:02,0.0
29,Pulse #1 Instantaneous,2,,2019-07-19 22:25:02,0.0
29,Pulse #1 Min,3,,2019-07-19 22:25:02,0.0
29,Pulse #1 Max,4,,2019-07-19 22:25:02,0.0
29,Pulse #2,5,,2019-07-19 22:25:02,0.0
29,Pulse #2 Rate,6,,2019-07-19 22:25:02,0.0
29,Pulse #2 Instantaneous,7,,2019-07-19 22:25:02,0.0
29,Pulse #2 Min,8,,2019-07-19 22:25:02,0.0
29,Pulse #2 Max,9,,2019-07-19 22:25:02,0.0
29,Pulse #1,0,,2019-07-19 22:31:57,0
29,Pulse #1 Rate,1,,2019-07-19 22:31:57,0
29,Pulse #1 Instantaneous,2,,2019-07-19 22:31:57,0
29,Pulse #1 Min,3,,2019-07-19 22:31:57,0
29,Pulse #1 Max,4,,2019-07-19 22:31:57,0
29,Pulse #2,5,,2019-07-19 22:31:57,0
29,Pulse #2 Rate,6,,2019-07-19 22:31:57,0
29,Pulse #2 Instantaneous,7,,2019-07-19 22:31:57,0
29,Pulse #2 Min,8,,2019-07-19 22:31:57,0
29,Pulse #2 Max,9,,2019-07-19 22:31:57,0
