Address,Point,Name,Value,Time
42,0,50 West Side Gas,2109607.0,2019-07-19 22:39:52
42,1,50 West Side Gas Rate,0.1,2019-07-19 22:39:52
42,2,50 West Side Gas Instantaneous,,2019-07-19 22:39:52
42,3,50 West Side Gas Min,,2019-07-19 22:39:52
42,4,50 West Side Gas Max,,2019-07-19 22:39:52
42,5,Pulse #2,0.0,2019-07-19 22:39:52
42,6,Pulse #2 Rate,0.0,2019-07-19 22:39:52
42,7,Pulse #2 Instantaneous,0.0,2019-07-19 22:39:52
42,8,Pulse #2 Min,0.0,2019-07-19 22:39:52
42,9,Pulse #2 Max,0.0,2019-07-19 22:39:52
42,0,50 West Side Gas,2109607.0,2019-07-19 22:49:36
42,1,50 West Side Gas Rate,0.0,2019-07-19 22:49:36
42,2,50 West Side Gas Instantaneous,0.0,2019-07-19 22:49:36
42,3,50 West Side Gas Min,0.0,2019-07-19 22:49:36
42,4,50 West Side Gas Max,0.0,2019-07-19 22:49:36
42,5,Pulse #2,0.0,2019-07-19 22:49:36
42,6,Pulse #2 Rate,0.0,2019-07-19 22:49:36
42,7,Pulse #2 Instantaneous,0.0,2019-07-19 22:49:36
42,8,Pulse #2 Min,0.0,2019-07-19 22:49:36
42,9,Pulse #2 Max,0.0,2019-07-19 22:49:36
42,0,50 West Side Gas,2109611.0,2019-07-19 22:57:16
42,1,50 West Side Gas Rate,0.5,2019-07-19 22:57:16
42,2,50 West Side Gas Instantaneous,,2019-07-19 22:57:16
42,3,50 West Side Gas Min,,2019-07-19 22:57:16
42,4,50 West Side Gas Max,,2019-07-19 22:57:16
42,5,Pulse #2,0.0,2019-07-19 22:57:16
42,6,Pulse #2 Rate,0.0,2019-07-19 22:57:16
42,7,Pulse #2 Instantaneous,0.0,2019-07-19 22:57:16
42,8,Pulse #2 Min,0.0,2019-07-19 22:57:16
42,9,Pulse #2 Max,0.0,2019-07-19 22:57:16
42,0,50 West Side Gas,2109612.0,2019-07-19 23:00:42
42,1,50 West Side Gas Rate,0.3,2019-07-19 23:00:42
42,2,50 West Side Gas Instantaneous,0.2,2019-07-19 23:00:42
42,3,50 West Side Gas Min,0.19,2019-07-19 23:00:42
42,4,50 West Side Gas Max,0.2,2019-07-19 23:00:42
42,5,Pulse #2,0.0,2019-07-19 23:00:42
42,6,Pulse #2 Rate,0.0,2019-07-19 23:00:42
42,7,Pulse #2 Instantaneous,0.0,2019-07-19 23:00:42
42,8,Pulse #2 Min,0.0,2019-07-19 23:00:42
42,9,Pulse #2 Max,0.0,2019-07-19 23:00:42
42,0,50 West Side Gas,2109616.0,2019-07-19 23:05:39
42,1,50 West Side Gas Rate,0.8,2019-07-19 23:05:39
42,2,50 West Side Gas Instantaneous,0.7,2019-07-19 23:05:39
42,3,50 West Side Gas Min,0.52,2019-07-19 23:05:39
42,4,50 West Side Gas Max,0.7,2019-07-19 23:05:39
42,5,Pulse #2,0.0,2019-07-19 23:05:39
42,6,Pulse #2 Rate,0.0,2019-07-19 23:05:39
42,7,Pulse #2 Instantaneous,0.0,2019-07-19 23:05:39
42,8,Pulse #2 Min,0.0,2019-07-19 23:05:39
42,9,Pulse #2 Max,0.0,2019-07-19 23:05:39
42,0,50 West Side Gas,2109616.0,2019-07-19 23:10:32
42,1,50 West Side Gas Rate,0.0,2019-07-19 23:10:32
42,2,50 West Side Gas Instantaneous,0.0,2019-07-19 23:10:32
42,3,50 West Side Gas Min,0.0,2019-07-19 23:10:32
42,4,50 West Side Gas Max,0.0,2019-07-19 23:10:32
42,5,Pulse #2,0.0,2019-07-19 23:10:32
42,6,Pulse #2 Rate,0.0,2019-07-19 23:10:32
42,7,Pulse #2 Instantaneous,0.0,2019-07-19 23:10:32
42,8,Pulse #2 Min,0.0,2019-07-19 23:10:32
42,9,Pulse #2 Max,0.0,2019-07-19 23:10:32
42,0,50 West Side Gas,2109624.0,2019-07-19 23:22:43
42,1,50 West Side Gas Rate,0.7,2019-07-19 23:22:43
42,2,50 West Side Gas Instantaneous,0.5,2019-07-19 23:22:43
42,3,50 West Side Gas Min,0.29,2019-07-19 23:22:43
42,4,50 West Side Gas Max,0.5,2019-07-19 23:22:43
42,5,Pulse #2,0.0,2019-07-19 23:22:43
42,6,Pulse #2 Rate,0.0,2019-07-19 23:22:43
42,7,Pulse #2 Instantaneous,0.0,2019-07-19 23:22:43
42,8,Pulse #2 Min,0.0,2019-07-19 23:22:43
42,9,Pulse #2 Max,0.0,2019-07-19 23:22:43
42,0,50 West Side Gas,2109624.0,2019-07-19 23:28:23
42,1,50 West Side Gas Rate,0.0,2019-07-19 23:28:23
42,2,50 West Side Gas Instantaneous,0.0,2019-07-19 23:28:23
42,3,50 West Side Gas Min,0.0,2019-07-19 23:28:23
42,4,50 West Side Gas Max,0.0,2019-07-19 23:28:23
42,5,Pulse #2,0.0,2019-07-19 23:28:23
42,6,Pulse #2 Rate,0.0,2019-07-19 23:28:23
42,7,Pulse #2 Instantaneous,0.0,2019-07-19 23:28:23
42,8,Pulse #2 Min,0.0,2019-07-19 23:28:23
42,9,Pulse #2 Max,0.0,2019-07-19 23:28:23
42,0,50 West Side Gas,2109624.0,2019-07-19 23:30:50
42,1,50 West Side Gas Rate,0.0,2019-07-19 23:30:50
42,2,50 West Side Gas Instantaneous,0.0,2019-07-19 23:30:50
